Entity,Code,Day,lockdown,model_step
Brazil,BRA,05/03/2020,0,4
Brazil,BRA,06/03/2020,0,5
Brazil,BRA,07/03/2020,0,6
Brazil,BRA,08/03/2020,0,7
Brazil,BRA,09/03/2020,0,8
Brazil,BRA,10/03/2020,0,9
Brazil,BRA,11/03/2020,0,10
Brazil,BRA,12/03/2020,1,11
Brazil,BRA,13/03/2020,1,12
Brazil,BRA,14/03/2020,1,13
Brazil,BRA,15/03/2020,1,14
Brazil,BRA,16/03/2020,1,15
Brazil,BRA,17/03/2020,1,16
Brazil,BRA,18/03/2020,1,17
Brazil,BRA,19/03/2020,1,18
Brazil,BRA,20/03/2020,1,19
Brazil,BRA,21/03/2020,1,20
Brazil,BRA,22/03/2020,1,21
Brazil,BRA,23/03/2020,1,22
Brazil,BRA,24/03/2020,1,23
Brazil,BRA,25/03/2020,1,24
Brazil,BRA,26/03/2020,1,25
Brazil,BRA,27/03/2020,1,26
Brazil,BRA,28/03/2020,1,27
Brazil,BRA,29/03/2020,1,28
Brazil,BRA,30/03/2020,1,29
Brazil,BRA,31/03/2020,1,30
Bulgaria,BGR,01/03/2020,0,0
Bulgaria,BGR,02/03/2020,0,1
Bulgaria,BGR,03/03/2020,0,2
Bulgaria,BGR,04/03/2020,0,3
Bulgaria,BGR,05/03/2020,0,4
Bulgaria,BGR,06/03/2020,0,5
Bulgaria,BGR,07/03/2020,0,6
Bulgaria,BGR,08/03/2020,0,7
Bulgaria,BGR,09/03/2020,0,8
Bulgaria,BGR,10/03/2020,0,9
Bulgaria,BGR,11/03/2020,0,10
Bulgaria,BGR,12/03/2020,0,11
Bulgaria,BGR,13/03/2020,1,12
Bulgaria,BGR,14/03/2020,1,13
Bulgaria,BGR,15/03/2020,1,14
Bulgaria,BGR,16/03/2020,1,15
Bulgaria,BGR,17/03/2020,1,16
Bulgaria,BGR,18/03/2020,1,17
Bulgaria,BGR,19/03/2020,1,18
Bulgaria,BGR,20/03/2020,1,19
Bulgaria,BGR,21/03/2020,1,20
Bulgaria,BGR,22/03/2020,1,21
Bulgaria,BGR,23/03/2020,1,22
Bulgaria,BGR,24/03/2020,1,23
Bulgaria,BGR,25/03/2020,1,24
Bulgaria,BGR,26/03/2020,1,25
Bulgaria,BGR,27/03/2020,1,26
Bulgaria,BGR,28/03/2020,1,27
Bulgaria,BGR,29/03/2020,1,28
Bulgaria,BGR,30/03/2020,1,29
Bulgaria,BGR,31/03/2020,1,30
Burkina Faso,BFA,01/03/2020,0,0
Burkina Faso,BFA,02/03/2020,0,1
Burkina Faso,BFA,03/03/2020,0,2
Burkina Faso,BFA,04/03/2020,0,3
Burkina Faso,BFA,05/03/2020,0,4
Burkina Faso,BFA,06/03/2020,0,5
Burkina Faso,BFA,07/03/2020,0,6
Burkina Faso,BFA,08/03/2020,0,7
Burkina Faso,BFA,09/03/2020,0,8
Burkina Faso,BFA,10/03/2020,0,9
Burkina Faso,BFA,11/03/2020,0,10
Burkina Faso,BFA,12/03/2020,0,11
Burkina Faso,BFA,13/03/2020,0,12
Burkina Faso,BFA,14/03/2020,0,13
Burkina Faso,BFA,15/03/2020,0,14
Burkina Faso,BFA,16/03/2020,1,15
Burkina Faso,BFA,17/03/2020,1,16
Burkina Faso,BFA,18/03/2020,1,17
Burkina Faso,BFA,19/03/2020,1,18
Burkina Faso,BFA,20/03/2020,1,19
Burkina Faso,BFA,21/03/2020,1,20
Burkina Faso,BFA,22/03/2020,1,21
Burkina Faso,BFA,23/03/2020,1,22
Burkina Faso,BFA,24/03/2020,1,23
Burkina Faso,BFA,25/03/2020,1,24
Burkina Faso,BFA,26/03/2020,1,25
Burkina Faso,BFA,27/03/2020,1,26
Burkina Faso,BFA,28/03/2020,1,27
Burkina Faso,BFA,29/03/2020,1,28
Burkina Faso,BFA,30/03/2020,1,29
Burkina Faso,BFA,31/03/2020,1,30
Burundi,BDI,01/03/2020,0,0
Burundi,BDI,02/03/2020,0,1
Burundi,BDI,03/03/2020,0,2
Burundi,BDI,04/03/2020,0,3
Burundi,BDI,05/03/2020,0,4
Burundi,BDI,06/03/2020,0,5
Burundi,BDI,07/03/2020,0,6
Burundi,BDI,08/03/2020,0,7
Burundi,BDI,09/03/2020,0,8
Burundi,BDI,10/03/2020,0,9
Burundi,BDI,11/03/2020,0,10
Burundi,BDI,12/03/2020,0,11
Burundi,BDI,13/03/2020,0,12
Burundi,BDI,14/03/2020,0,13
Burundi,BDI,15/03/2020,0,14
Burundi,BDI,16/03/2020,0,15
