entity,code,year,gdp_pc,democracy_index,capital_latitude,capital_longitude,population_density,log_population_density,log_population_density_normalized_on_average,democracy_index_normalized_on_average,initial_state
Haiti,HTI,2020,3094.94,4.57,18.53,-72.33,413.73,6.03,1.4,0.84,0
Honduras,HND,2020,5419.79,5.42,14.1,-87.22,88.52,4.48,1.04,0.99,0
Hong Kong,HKG,2020,58980.01,6.02,22.3,114.18,7124.76,8.87,2.05,1.1,1
Hungary,HUN,2020,33274.35,6.63,47.5,19.08,106.84,4.67,1.08,1.21,0
Iceland,ISL,2020,53616.68,9.58,64.15,-21.95,3.63,1.29,0.3,1.76,0
India,IND,2020,6525.43,6.9,28.6,77.2,464.15,6.14,1.42,1.26,0
Indonesia,IDN,2020,12072.44,6.48,-6.17,106.82,145.68,4.98,1.15,1.19,1
Iran,IRN,2020,15791.16,2.38,35.7,51.42,51.57,3.94,0.91,0.44,0
Iraq,IRQ,2020,9954.35,3.74,33.33,44.4,92.65,4.53,1.05,0.69,1
Ireland,IRL,2020,93350.09,9.24,53.32,-6.23,72.37,4.28,0.99,1.69,0
Israel,ISR,2020,39489.28,7.86,31.77,35.23,425.84,6.05,1.4,1.44,0
Italy,ITA,2020,41987.82,7.52,41.9,12.48,199.68,5.3,1.23,1.38,1
Jamaica,JAM,2020,9240.82,6.96,18,-76.8,273.42,5.61,1.3,1.28,0
Japan,JPN,2020,42100.26,7.99,35.68,139.75,346.4,5.85,1.35,1.46,0
Jordan,JOR,2020,10354.16,3.93,31.95,35.93,114.93,4.74,1.1,0.72,0
Kazakhstan,KAZ,2020,26750.45,2.94,51.17,71.42,6.95,1.94,0.45,0.54,0
Kenya,KEN,2020,4587.19,5.18,-1.28,36.82,94.48,4.55,1.05,0.95,0
Kuwait,KWT,2020,47303.13,3.93,29.37,47.97,239.65,5.48,1.27,0.72,1
Kyrgyzstan,KGZ,2020,4985.03,4.89,42.87,74.6,34.31,3.54,0.82,0.9,0
Laos,LAO,2020,8238.49,2.14,17.97,102.6,31.52,3.45,0.8,0.39,0
Latvia,LVA,2020,31424.9,7.49,56.95,24.1,30.61,3.42,0.79,1.37,0
Lebanon,LBN,2020,11376.79,4.36,33.87,35.5,667.2,6.5,1.51,0.8,1
Lesotho,LSO,2020,2569.34,6.54,-29.32,27.48,70.56,4.26,0.99,1.2,0
Liberia,LBR,2020,1468.25,5.45,6.3,-10.8,52.51,3.96,0.92,1,0
Libya,LBY,2020,17286.37,2.02,32.88,13.17,3.91,1.36,0.32,0.37,0
Lithuania,LTU,2020,38880.55,7.5,54.68,25.32,44.63,3.8,0.88,1.37,0
Luxembourg,LUX,2020,117846.14,8.81,49.6,6.12,259.43,5.56,1.29,1.61,0
Madagascar,MDG,2020,1543.95,5.64,-18.92,47.52,47.6,3.86,0.89,1.03,0
